datos,model,prompt,lang,accuracy,recall,precision,f1,matthews
balanced,mistralai/Mistral-7B-Instruct-v0.3,2 es,es,0.38095238095238093,0.38095238095238093,0.38219219336838917,0.38100144170035966,
balanced,mistralai/Mistral-7B-Instruct-v0.3,2 en,en,0.546031746031746,0.45502645502645506,0.4851434960943097,0.46932667302684067,
balanced,mistralai/Mistral-7B-Instruct-v0.3,1 en,es,0.38095238095238093,0.31746031746031744,0.3311558111807241,0.323387565098795,
balanced,mistralai/Mistral-7B-Instruct-v0.3,1 es,es,0.38095238095238093,0.38095238095238093,0.38219219336838917,0.38100144170035966,
balanced,mistralai/Mistral-7B-Instruct-v0.3,1 en,en,0.546031746031746,0.45502645502645506,0.4851434960943097,0.46932667302684067,
balanced,mistralai/Mistral-7B-Instruct-v0.3,4 en,es,0.38095238095238093,0.31746031746031744,0.3311558111807241,0.323387565098795,
balanced,mistralai/Mistral-7B-Instruct-v0.3,4 es,es,0.38095238095238093,0.38095238095238093,0.38219219336838917,0.38100144170035966,
balanced,mistralai/Mistral-7B-Instruct-v0.3,4 en,en,0.546031746031746,0.45502645502645506,0.4851434960943097,0.46932667302684067,
balanced,google/gemma-2-2b-it,3 en,es,0.33650793650793653,0.3365079365079365,0.34088113623827915,0.33451431715693264,
balanced,google/gemma-2-2b-it,3 es,es,0.3396825396825397,0.3396825396825397,0.3465610748589472,0.33467343513002856,
balanced,google/gemma-2-2b-it,3 en,en,0.43492063492063493,0.4349206349206349,0.44053482476427686,0.43363924692651956,
balanced,google/gemma-2-2b-it,2 en,es,0.37142857142857144,0.3714285714285714,0.3834534240140161,0.36981413265815855,
balanced,google/gemma-2-2b-it,2 es,es,0.36507936507936506,0.365079365079365,0.37471892966727005,0.36219636086217843,
balanced,google/gemma-2-2b-it,2 en,en,0.43492063492063493,0.4349206349206349,0.4418266185611709,0.4318933223639106,
balanced,google/gemma-2-2b-it,1 en,es,0.3619047619047619,0.36190476190476184,0.3697898192648751,0.35778730629752564,
balanced,google/gemma-2-2b-it,1 es,es,0.33650793650793653,0.3365079365079365,0.3466446313741737,0.33305498009182394,
balanced,google/gemma-2-2b-it,1 en,en,0.45396825396825397,0.45396825396825397,0.4555644627678526,0.4514493328324459,
balanced,google/gemma-2-2b-it,4 en,es,0.33650793650793653,0.2804232804232804,0.28527015395986766,0.279219280221954,
balanced,google/gemma-2-2b-it,4 es,es,0.3238095238095238,0.32380952380952377,0.33186949371159896,0.3170133934142271,
balanced,google/gemma-2-2b-it,4 en,en,0.43174603174603177,0.35978835978835977,0.3639298028138159,0.3587086217435038,
original,HPAI-BSC/Llama3-Aloe-8B-Alpha,2 en,es,0.5238095238095238,0.54993894993895,0.5061879297173415,0.5037986270022883,
original,HPAI-BSC/Llama3-Aloe-8B-Alpha,2 es,es,0.47619047619047616,0.4785103785103785,0.46354978354978355,0.455408004896496,
original,HPAI-BSC/Llama3-Aloe-8B-Alpha,2 en,en,0.6349206349206349,0.6532356532356532,0.615,0.6126846846846846,
original,HPAI-BSC/Llama3-Aloe-8B-Alpha,4 en,es,0.49206349206349204,0.5245421245421245,0.510847975553858,0.48409614681993196,
original,HPAI-BSC/Llama3-Aloe-8B-Alpha,4 es,es,0.4603174603174603,0.4547008547008547,0.4400263135557253,0.4314497993593431,
original,HPAI-BSC/Llama3-Aloe-8B-Alpha,4 en,en,0.6190476190476191,0.6378510378510378,0.5966250742721331,0.6000350877192983,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,3 en,es,0.4603174603174603,0.5128205128205129,0.4643483709273183,0.4515873015873016,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,3 es,es,0.5238095238095238,0.5653235653235653,0.5313131313131313,0.5117748917748918,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,3 en,en,0.5396825396825397,0.5553113553113553,0.5266161616161616,0.5161273088945724,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,2 en,es,0.4603174603174603,0.4683760683760684,0.4295739348370927,0.42217391304347834,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,2 es,es,0.49206349206349204,0.522954822954823,0.4792063492063492,0.4730204738900391,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,2 en,en,0.5714285714285714,0.5791208791208791,0.5683832507361919,0.557401865868685,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,1 en,es,0.42857142857142855,0.4472527472527473,0.41939393939393943,0.4133333333333333,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,1 es,es,0.49206349206349204,0.505006105006105,0.4679939668174963,0.4655072463768116,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,1 en,en,0.6031746031746031,0.5288970288970288,0.51671918767507,0.5065228079263168,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,4 en,es,0.49206349206349204,0.5219780219780219,0.48269140989729226,0.4787398387398388,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,4 es,es,0.5238095238095238,0.5505494505494505,0.5169949494949495,0.5191753291753292,
original,meta-llama/Meta-Llama-3.1-8B-Instruct,4 en,en,0.5873015873015873,0.6024420024420024,0.5693187531422825,0.5615145215145215,
original,google/gemma-2-9b-it,3 en,es,0.5714285714285714,0.5738705738705738,0.5646196940314587,0.5644056995635943,
